,all_preds,all_labels,all_preds_raw
427,0.0,0,0.07447573
428,1.0,1,0.9320766
429,1.0,1,0.63523954
430,0.0,0,0.35921413
431,0.0,0,0.05648704
432,1.0,1,0.8874731
433,0.0,0,0.082688294
434,0.0,1,0.3337278
435,0.0,1,0.36516345
436,0.0,0,0.21274188
437,0.0,0,0.08979708
438,1.0,1,0.58929104
439,1.0,1,0.80957973
440,0.0,0,0.49592152
441,0.0,0,0.34298113
442,0.0,0,0.3546264
443,0.0,0,0.06407288
444,0.0,0,0.21897058
445,1.0,0,0.7359744
446,1.0,0,0.8031817
447,1.0,1,0.9281599
448,0.0,1,0.3647497
449,0.0,0,0.16179778
450,0.0,0,0.045596845
451,1.0,1,0.6699373
452,0.0,1,0.2990705
453,1.0,1,0.91014796
454,1.0,0,0.6639346
455,1.0,1,0.65028757
456,0.0,0,0.17534001
457,1.0,0,0.63603896
458,1.0,0,0.67621356
459,0.0,0,0.12501304
460,0.0,0,0.030115394
461,1.0,1,0.62156606
462,1.0,1,0.9583721
463,1.0,1,0.5001332
464,0.0,0,0.074996784
465,1.0,0,0.5899891
466,1.0,1,0.9133661
467,0.0,0,0.29651907
468,0.0,0,0.39481312
469,1.0,1,0.61381984
470,1.0,1,0.8744045
471,1.0,1,0.803456
472,1.0,1,0.73726845
473,1.0,0,0.5683435
474,0.0,1,0.2973694
475,1.0,1,0.69176286
476,1.0,1,0.8335698
477,0.0,0,0.05918622
478,1.0,1,0.94114107
479,1.0,1,0.578375
480,1.0,0,0.7060896
481,0.0,0,0.17814305
482,0.0,0,0.10354487
483,1.0,1,0.6402285
484,0.0,0,0.019087264
485,1.0,0,0.6567796
486,1.0,1,0.9044876
487,1.0,1,0.63218653
488,0.0,0,0.26278958
489,0.0,0,0.22057615
490,0.0,0,0.035356484
491,1.0,1,0.66872597
492,1.0,0,0.59342295
493,1.0,0,0.5542193
494,0.0,0,0.41669288
495,1.0,1,0.96052885
496,1.0,0,0.51051533
497,0.0,0,0.48355213
498,0.0,0,0.023711057
499,1.0,0,0.6151748
500,1.0,1,0.8826979
501,0.0,0,0.1626564
502,1.0,1,0.59639996
503,0.0,0,0.22404595
504,0.0,0,0.33168977
505,1.0,1,0.9352184
506,0.0,0,0.10738149
507,0.0,0,0.048323747
